"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"2","0.350329","b8:27:eb:22:a0:16","90:a8:22:04:73:81","ARP","42","192.168.88.1 is at b8:27:eb:22:a0:16"
"3","0.351006","b8:27:eb:22:a0:16","b8:69:f4:75:d3:a1","ARP","42","192.168.88.239 is at b8:27:eb:22:a0:16"
"4","0.989755","b8:69:f4:75:d3:a1","01:80:c2:00:00:00","STP","60","Conf. Root = 32768/0/b8:69:f4:75:d3:a1  Cost = 0  Port = 0x8003"
"5","0.999930","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"6","1.463676","b8:27:eb:22:a0:16","90:a8:22:04:73:81","ARP","42","192.168.88.1 is at b8:27:eb:22:a0:16"
"7","1.469343","b8:27:eb:22:a0:16","b8:69:f4:75:d3:a1","ARP","42","192.168.88.239 is at b8:27:eb:22:a0:16"
"8","2.598960","b8:27:eb:22:a0:16","90:a8:22:04:73:81","ARP","42","192.168.88.1 is at b8:27:eb:22:a0:16"
"9","2.599071","b8:27:eb:22:a0:16","b8:69:f4:75:d3:a1","ARP","42","192.168.88.239 is at b8:27:eb:22:a0:16"
"10","2.784674","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"11","2.991046","b8:69:f4:75:d3:a1","01:80:c2:00:00:00","STP","60","Conf. Root = 32768/0/b8:69:f4:75:d3:a1  Cost = 0  Port = 0x8003"
"12","3.779998","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"13","3.808298","b8:27:eb:22:a0:16","90:a8:22:04:73:81","ARP","42","192.168.88.1 is at b8:27:eb:22:a0:16"
"14","3.808383","b8:27:eb:22:a0:16","b8:69:f4:75:d3:a1","ARP","42","192.168.88.239 is at b8:27:eb:22:a0:16"
"15","4.780002","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"16","4.866680","b8:27:eb:22:a0:16","90:a8:22:04:73:81","ARP","42","192.168.88.1 is at b8:27:eb:22:a0:16"
"17","4.866763","b8:27:eb:22:a0:16","b8:69:f4:75:d3:a1","ARP","42","192.168.88.239 is at b8:27:eb:22:a0:16"
"18","4.993240","b8:69:f4:75:d3:a1","01:80:c2:00:00:00","STP","60","Conf. Root = 32768/0/b8:69:f4:75:d3:a1  Cost = 0  Port = 0x8003"
"19","5.240455","192.168.88.253","34.235.172.61","TCP","92","40441  >  17273 [PSH, ACK] Seq=1 Ack=1 Win=5102 Len=38"
"20","5.265647","34.235.172.61","192.168.88.253","TCP","60","17273  >  40441 [PSH, ACK] Seq=1 Ack=39 Win=28944 Len=2"
"21","5.265971","34.235.172.61","192.168.88.253","TCP","134","17273  >  40441 [PSH, ACK] Seq=3 Ack=39 Win=28944 Len=80"
"22","5.273358","192.168.88.253","34.235.172.61","TCP","54","40441  >  17273 [ACK] Seq=39 Ack=83 Win=5020 Len=0"
"23","5.973766","b8:27:eb:22:a0:16","90:a8:22:04:73:81","ARP","42","192.168.88.1 is at b8:27:eb:22:a0:16"
"24","5.979389","b8:27:eb:22:a0:16","b8:69:f4:75:d3:a1","ARP","42","192.168.88.239 is at b8:27:eb:22:a0:16"
"25","6.562828","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"26","6.995448","b8:69:f4:75:d3:a1","01:80:c2:00:00:00","STP","60","Conf. Root = 32768/0/b8:69:f4:75:d3:a1  Cost = 0  Port = 0x8003"
"27","7.117881","192.168.88.239","52.46.153.232","TLSv1.2","352","Application Data"
"28","7.121956","192.168.88.239","52.46.153.232","TCP","1514","53326  >  443 [ACK] Seq=299 Ack=1 Win=5245 Len=1460 [TCP segment of a reassembled PDU]"
"29","7.121982","192.168.88.239","52.46.153.232","TCP","1514","53326  >  443 [ACK] Seq=1759 Ack=1 Win=5245 Len=1460 [TCP segment of a reassembled PDU]"
"30","7.122007","192.168.88.239","52.46.153.232","TCP","1514","53326  >  443 [ACK] Seq=3219 Ack=1 Win=5245 Len=1460 [TCP segment of a reassembled PDU]"
"31","7.122029","192.168.88.239","52.46.153.232","TCP","1514","53326  >  443 [ACK] Seq=4679 Ack=1 Win=5245 Len=1460 [TCP segment of a reassembled PDU]"
"32","7.122049","192.168.88.239","52.46.153.232","TLSv1.2","1341","Application Data"
"33","7.122085","192.168.88.234","192.168.88.239","ICMP","380","Redirect             (Redirect for host)"
