"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"2","1.000016","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"3","1.115645","04:95:e6:22:f8:61","01:80:c2:00:00:00","STP","52","Conf. Root = 32768/0/04:95:e6:22:f8:60  Cost = 0  Port = 0x8002"
"4","2.019441","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"5","2.950871","176.32.101.52","192.168.88.239","TLSv1.2","100","Application Data"
"6","2.961253","192.168.88.239","176.32.101.52","TLSv1.2","100","Application Data"
"7","2.994285","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=47 Win=32617 Len=0"
"8","3.009998","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"9","3.115065","04:95:e6:22:f8:61","01:80:c2:00:00:00","STP","52","Conf. Root = 32768/0/04:95:e6:22:f8:60  Cost = 0  Port = 0x8002"
"10","4.010036","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"11","4.228055","192.168.88.254","192.168.88.1","DNS","79","Standard query 0x4706 A dp-gw-na.amazon.com"
"12","4.248278","192.168.88.1","192.168.88.254","DNS","95","Standard query response 0x4706 A dp-gw-na.amazon.com A 52.119.197.108"
"13","4.330419","192.168.88.254","52.119.197.108","TCP","74","46535  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1467070 TSecr=0 WS=256"
"14","4.363196","52.119.197.108","192.168.88.254","TCP","66","443  >  46535 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460 WS=64 SACK_PERM=1"
"15","4.366226","192.168.88.254","52.119.197.108","TCP","54","46535  >  443 [ACK] Seq=1 Ack=1 Win=87808 Len=0"
"16","4.368074","192.168.88.254","52.119.197.108","TLSv1.2","229","Client Hello"
"17","4.396645","52.119.197.108","192.168.88.254","TCP","60","443  >  46535 [ACK] Seq=1 Ack=176 Win=10880 Len=0"
"18","4.397432","52.119.197.108","192.168.88.254","TCP","60","[TCP Window Update] 443  >  46535 [ACK] Seq=1 Ack=176 Win=27136 Len=0"
"19","4.397469","52.119.197.108","192.168.88.254","TCP","60","[TCP Window Update] 443  >  46535 [ACK] Seq=1 Ack=176 Win=28160 Len=0"
"20","4.400066","52.119.197.108","192.168.88.254","TLSv1.2","1514","Server Hello"
"21","4.400193","52.119.197.108","192.168.88.254","TCP","1514","443  >  46535 [ACK] Seq=1461 Ack=176 Win=28160 Len=1460 [TCP segment of a reassembled PDU]"
"22","4.400662","52.119.197.108","192.168.88.254","TCP","1514","443  >  46535 [ACK] Seq=2921 Ack=176 Win=28160 Len=1460 [TCP segment of a reassembled PDU]"
"23","4.400714","52.119.197.108","192.168.88.254","TLSv1.2","531","Certificate, Server Key Exchange, Server Hello Done"
"24","4.404256","192.168.88.254","52.119.197.108","TCP","54","46535  >  443 [ACK] Seq=176 Ack=1461 Win=90624 Len=0"
